Текст_отзыва,sentiment,emotions,topics,quality,summary
"Poco Смартфон POCO X7 Global 12/512 ГБ, серебристый || Очень порадовал смарт. Быстрый и шустрый - результат ниже на скринах. Скругление на экране штука стильная, но собирает много пыли. Камера за эти деньги вполне неплохо - снимок почти без освещения. || Пользователь предпочёл скрыть свои данные",positive,"['удовлетворён', 'впечатлён']","['скорость работы устройства', 'дизайн экрана', 'камера смартфона']",9.0,"Смартфон понравился быстротой работы, стильным дизайном экрана и неплохими характеристиками камеры."
"realme Смартфон realme P3 Ростест (EAC) 12/256 ГБ, зеленый, бирюзовый || Решил остаться с Реалми после трагического расставания с GT Master Edition. Первые впечатления испортила родная пленка на экране. Заляпалась в момент, поэтому надо сразу ее менять на что-то более олеофобное. Так в целом сначала были разочарования, но потом, когда все данные перенеслись из облака, все блютусы соединились сами как надо, мне стало нравится... || Телефон хороший,удобный. Камеры средние,всё-таки бюджетник.Игры тянет на средних настройках. В комплекте зарядка,шнур,чехол,скрепка и плёнка на экране.",positive,"['разочарование', 'довольство']","['экран', 'камера', 'беспроводные подключения', 'удобство', 'комплект поставки']",8.0,"Смартфон понравился в целом, разочаровали качество пленки экрана, камеры средние, игры идут на среднем уровне, хорошее удобство, комплект богатый."
"HUAWEI Смартфон Nova Y63 6/128 ГБ, черный || Телефон пришёл в заводской упаковке, изготовлен в апреле 2025 г.работает. || Обычный смартфон за свои деньги, есть все что необходимо, в том числе бесконтактная оплата и геолокация. Мощности хватает для обыденных задач. Самый главный плюс что нет Google сервисов!",positive,"['удовлетворение', 'довольство']","['упаковка', 'производительность', 'функциональность', 'отсутствие Google-сервисов']",8.0,"Положительный отзыв о смартфоне HUAWEI Nova Y63: телефон пришел в новой коробке, работает исправно, имеет достаточную мощность для повседневных задач, радует отсутствием Google-сервисов."
"Poco Смартфон POCO M7 Pro 5G Ростест (EAC) 8/256 ГБ, зеленый || Смартфон Poco M7 Pro 5G 8/256 ГБ полностью оправдал свои ожидания, и даже с мог удивить в приятном отношении, тем самым, добавив неожиданно несколько жирных плюсов в его оценке. Данный смартфон в светлом фиолетовом исполнении удобно лежит в руке, и выглядит очень даже привлекательно в реальности, а не только на картинке. При получении покупки в пункте... || я счастлива. модель оправдала себя. рекомендую всем. не тяжёлый, компактный, много памяти. чехол в комплекте. спасибо огромное продавцу, озону",positive,"['счастливая', 'довольная', 'рекомендует']","['качество смартфона', 'внешний вид', 'удобство', 'производительность', 'комплектность']",9.0,"Смартфон POCO M7 Pro 5G полностью соответствует ожиданиям, имеет приятный внешний вид, комфортную эргономику и хорошую комплектацию."
"iQOO Смартфон Neo 10 Ростест (EAC) 16/512 ГБ, красный, оранжевый || Отличный телефон по отличной цене. Качественный экран. Быстрая оболочка. Материалы корпуса простые, но качественные. Сборка на отлично. В комплектации всё что нужно для жизни. Огромной емкости батарея. ""Дорогой"" вибротклик. Камеру хотелось бы по лучше, но за эту цену терпимо. Могу рекомендовать к приобретению. || Первые впечатления положительные 👍 Работает шустро 👍 Экран чёткий,сенсор работает отлично.Как будет работать дальше время покажет.Пока всё тип топ 👍 Доставка вовремя,продавца рекомендую.Всем спасибо",positive,"['довольный', 'рекомендующий']","['цена-качество', 'экран', 'оболочка', 'корпус', 'камера', 'вибрация', 'батарея', 'комплектация', 'работоспособность', 'доставка']",9.0,"Положительный отзыв: отличное соотношение цены и качества, качественный экран, быстрая оболочка, хорошая сборка и комплектация, высокая емкость батареи, рекомендуется к покупке."
"Infinix Смартфон GT 30 Pro Ростест (EAC) 12/256 ГБ, белый || телефон отличный, работает достойно, без всяких лагов. к покупке очень прям даже рекомендую. отдельное спасибо за транспортировачную упаковку, была на высоте. упакованно было на совесть в воздушную пленку😃 не мятин, ни царапин всё в заводской упаковки || Телефон пришел чуть с задержкой на 4 дня, но это уже в РФ задерживался.
Это уже второй infinix у меня, предыдущий отслужил 2 года и до сих пор служит как второй телефон для работы, этот в использовании 2 недели, по батареи лично мне после infinix note 12 2023, показалось как то слабовато, предыдущему два года, и они как то одинаково держат заряд как...",positive,"['довольство', 'рекомендация', 'благодарность']","['качество сборки', 'работоспособность', 'упаковка', 'задержка доставки', 'емкость аккумулятора']",9.0,"отличный смартфон, надежный, быстрая упаковка, лишь небольшая претензия к емкости аккумулятора"
"Samsung Смартфон Galaxy S25 Ultra 5G Ростест (EAC) 12/512 ГБ, черный || Пользователь предпочёл скрыть свои данные || Отличный смартфон, очень долго выбирала, решалась и наконец, заказала, очень переживала, что это мой первый смартфон, который купила на маркетплейсе. Всё пришло хорошо упакованное, пломбы на месте. Телефон очень шустрый, камера отличная, много классных фишек, я довольна на 1000%. Перенос данных с samsung на samsung достаточно быстрый и удобный. В комплекте...",positive,"['довольство', 'радость', 'благодарность']","['качество смартфона', 'камера', 'фишки телефона', 'удобство переноса данных', 'упаковка товара']",10.0,"Пользователь доволен смартфоном Samsung Galaxy S25 Ultra 5G, качеством камеры, удобством переноса данных и быстрой доставкой."
"Apple Смартфон iPhone 16 - SIM+eSIM (новый, не активирован, Face Time работает, eSIM поддерживается) - Global 128 ГБ, белый || >Плюсы:
Смартфон действительно ощущается быстрым и шустрым. Новый чип A18 даёт запас мощности: всё работает плавно, нет лагов ни в повседневных задачах, ни в более тяжёлых — играх, монтаже, переключениях между приложениями. 
Камера даёт хорошие фото — особенно при нормальном свете. Основной 48 МП модуль справляется красиво, можно снимать удачные кадры... || Самая дорогая покупка на озон, очень волновалась. Продавец отвечал в чате и в вопросах своевременно.
С телефоном все ок, полностью оригинал, цена была самая низкая.",positive,"['довольство', 'удовлетворение']","['производительность', 'камера', 'скорость работы', 'поддержка eSIM', 'цена', 'качество обслуживания продавца']",9.0,"Хороший смартфон Apple iPhone 16 с мощным процессором и качественной камерой, удовлетворяет ожидания покупателя."
"Телефон пришёл быстро) Летает. фото огонь. есть чехол и бочек) || громкий, фото норм, динамик один, на старом сяоми два было, пока нравится, сразу идёт с защитной плёнкой || Покупал на замену Poco X4 GT под обычные потребности (видеозвонки, коммуникация, чутка съёмка)

Стоковая камера неплохая. При открытии на retina-дисплее фото остаются чёткими. Gcam ещё не ставил, но на тематических форумах примеры фото впечатляют. Свои примеры не прикрепляю - озон пережимает",positive,"['удовлетворённость', 'восторг']","['скорость', 'камера', 'динамик', 'внешний вид', 'соответствие ожиданиям']",8.0,"Пользователь доволен быстротой доставки, характеристиками телефона (летает, хорошая камера), наличием чехла и защитных плёнок, однако отмечает недостаток второго динамика по сравнению с предыдущим телефоном."
"realme Смартфон 15 Ростест (EAC) 12/256 ГБ, розовый || Достойный смартфон за свои деньги! Порадовал AMOLED‑дисплей с частотой 144 Гц: картинка плавная и яркая, даже на солнце всё хорошо видно. Камера на 50 Мп делает чёткие снимки при любом освещении, особенно удаются портреты. Аккумулятор на 7000 мА·ч — просто монстр: хватает на день‑два активной работы, а зарядка на 80 Вт наполняет батарею за час. Производительность... || Телефон дочери очень понравился, симпатичный.",positive,"['удовлетворение', 'восхищение']","['дисплей', 'камера', 'аккумулятор', 'производительность', 'эстетика']",9.0,"Смартфон realme высокого качества, понравился своим дисплеем, камерой, ёмким аккумулятором и производительностью."
"Tecno Смартфон SPARK 40C Ростест (EAC) 8/128 ГБ, белый || В руке лежит хорошо, удобно. Пока не пользовались. || Телефон пришел в запаянной упаковке. В комплект вошли: телефон, зарядное устройство, гарантийный талон, инструкция, паспорт, иголочка для симки.
Работает быстро, никаких проблем не обнаружено. Камера вполне достойная, даже панорама. В игры не играю, поэтому ничего сказать не могу.
Общее впечатление для бюджетного телефона - отличное.Продавца рекомендую...",positive,"['удобство', 'довольство']","['качество сборки', 'упаковка и комплектация', 'производительность', 'камера', 'стоимость/ценность']",9.0,"Хороший бюджетный смартфон удобного размера, качественный набор аксессуаров, быстрая работа устройства и отличная камера для своего класса."
"Samsung Смартфон Galaxy S25 FE Ростест (EAC) 8/512 ГБ, синий || отличный телефон. по сравнению с а71 ваще пушка. || Оригинал. Всё отлично. Берите смело. Рекомендую.",positive,['довольство'],"['смартфон Samsung Galaxy S25 FE', 'производительность устройства', 'качество товара']",9.0,"Положительный отзыв: отличная работа смартфона по сравнению с моделью a71, отличное качество, рекомендовано к покупке."
"Смартфон CAMON 40 Pro CN 12/512 ГБ, черно-серый || отлично . телефон работает отлично нареканий нет .пришло раньше чем предполагал, спасибо продавцу рекомендую 👍, отдельное спасибо за подарок рекомендую ‼️👍 || Клиентская служба работает быстро и эффективно, обслуживание отличное!Я уже много раз делала покупки в этом магазине, и он действительно стал моим любимым! Качество товаров надежное, соотношение цены и качества очень высокое, очень выгодно.",positive,"['довольство', 'благодарность', 'рекомендация']","['качество товара', 'быстрая доставка', 'обслуживание магазина', 'соотношение цена-качество']",9.0,"телефон отличный, быстро доставили, хорошее обслуживание, высокая оценка магазину и качеству продукции"
"Смартфон Reaime Note50X русская версия, сеть 4g, большой 6.8-дюймовый HD-экран, противоударная и водонепроницаемая защита, мощные игровые функции, гибкие возможности фотосъемки, длительное время автономной работы, отличный подарок, сенсорный телефон,Spark,M11,Ростест (EAC) EU 12/512 ГБ, бежевый, белый || ""Пишу отзыв спустя пару дней использования
Данный смартфон пришел на смену моему OnePlus 9r, который прослужил мне 4 года.
Попользовавшись им в течении 5 дней пишу небольшой обзор на него.
Этот смартфон действительно заслуживает внимания, и вот почему:

Дизайн и сборка
это образец современного дизайна. Корпус выполнен из премиальных материалов, таких... || телефон пришел вовремя,визуально все нормально.Спасибо",positive,['довольство'],"['дизайн', 'функциональность', 'использование', 'экран', 'автономность', 'заменяемость_устройства', 'производительность']",9.0,"Пользователь доволен смартфоном Reaime Note50X, его дизайном, сборкой, функциональностью и временем автономной работы после замены предыдущего устройства."
"realme Смартфон 14T Ростест (EAC) 8/256 ГБ, черный || Телефон пришел в коробке в заводской упаковке. внутри все, как в описании. Спасибо большое. Все работает || Товар пришёл в цельной упаковке без повреждений. На задней стороне упаковки есть описание на русском языке. Комплектация соответствует описанию, всё целое. Телефон пришёл с заряженной до 25% батареей, что позволило сразу проверить рабочее состояние. Пока нареканий нет, посмотрим как покажет в работе.",positive,"['довольство', 'благодарность']","['упаковка', 'комплектация', 'работоспособность', 'заряд батареи']",9.0,"Пользователь доволен покупкой смартфона realme 14T, пришедшего в целой заводской упаковке и соответствующей комплектации."
"Oukitel Смартфон WP55 PRO 5G/120Hz, Android 15, 11000mAh, NFC/Двойная разблокировка 16/512 ГБ || товар хороший,быстрая доставка,полет нормальный || пришел без повреждений, настроил быстро, некоторые моменты на английском(но это не мешает мне)... приятен, удобен, быстр... рекомендую этого продавца...
и да, пришел он раньше, чем обещали...",positive,"['удобство', 'довольство', 'рекомендация']","['качество товара', 'скорость доставки', 'работоспособность устройства', 'английские надписи (не критично)']",9.0,"Хороший смартфон с быстрой доставкой, удобен и быстр, недостатки на английском незначительны."
"Samsung Смартфон Galaxy S24 FE Global 8/128 ГБ, темно-серый || Купил жене S24FE 256 Gb. Цвет мята. Отличный смарт. Доставка из Эмиратов 2 недели. Приехал в срок. Произведён в Индии. Наши SIM увидел сразу, связь и мобильный интернет отличные. Проблем с настройками не было. Все в автомате перенеслось со старого Сяоми. После китайской поделки Самсунг великолепен. Зарядку держит 2 дня, это если сидеть в инете. В игры... || Доброго время суток… телефон-огонь( понравился, брал на подарок ), доставка- супер (раньше сорока)",positive,"['довольство', 'удовлетворение']","['качество_продукта', 'цвет', 'производительность', 'доставка', 'связь', 'настройка', 'комплектация', 'зарядка', 'впечатления']",9.0,"Положительный отзыв о смартфоне Samsung Galaxy S24 FE: отличное качество, быстрая доставка, хорошее покрытие связи, удобство настройки, долгий заряд батареи, отличная работа после китайского аналога."
"realme Смартфон 15T Ростест (EAC) 12/256 ГБ, белый || Телефон хороший, яркость экрана на высоком, телефон работает бытсро || впечатления отличное, работает отлично, заряд держит 2 дня при использовании практически весь день. покупкой довольна . рекомендую",positive,"['довольство', 'удовлетворение']","['яркость экрана', 'производительность', 'продолжительность работы от батареи']",9.0,"Хороший смартфон с высокой яркостью экрана, быстрой работой и длительной автономностью."
"VEDYARTI Смартфон I15 Pro Max Ростест (EAC) 8/256 ГБ, темно-синий || заказал золотой пришло х кокой.и нету наушников.хотя в комплекте они должны быть проводные.продовец компицацию зделал.огромное спасибо. || всё супер,полностью соответствует описанию, дочка довольна счастлива мама🤣😁😊рекомендую всем 👍",positive,"['благодарность', 'довольство', 'одобрение']","['качество смартфона', 'наличие комплекта поставки', 'обслуживание магазина']",9.0,"Покупатель получил смартфон золотого цвета вместо темно-синего, комплект наушников был неполный, продавец оперативно исправил ситуацию, качество устройства хорошее, ребенок доволен."
"Xiaomi Смартфон Смартфон Xiaomi Redmi Note 14 с глобальной версией NFC MediaTek Helio G99-Ultra поддерживает русский язык 8/256 ГБ, темно-серый || Благодарочка,телефон пришёл за 12 дней, все приложения перелетели со старого телефона, всё установилось,обновился до последней версии, всё работает летает,нфс работает,вообще всё супер.Благодарю, рекомендую к покупке у данного продавца. || Покупкой доволен.Пришло быстро.Упаковано было отлично,параметры соответствуют описанию.Летает .Не тормозит,не виснет.За такие деньги!Просто 🔥!",positive,"['благодарность', 'удовлетворение', 'рекомендация']","['качество смартфона', 'скорость работы', 'поддержка русского языка', 'соответствие характеристик', 'удобство покупки']",9.0,"Пользователь остался доволен покупкой, телефон пришел быстро, характеристики соответствуют заявленным, отличная скорость работы, приложение обновлено до актуальной версии, рекомендовал покупку продавцу."
"Xiaomi Смартфон POCO M7 Pro 5G глобальная версия, поддержка русского языка, Google Play, NFC Global 12/512 ГБ, черный матовый || Пользователь предпочёл скрыть свои данные || хорошо упаковано, доставили в срок, оригинал телефон.",positive,['удовлетворён(а)'],"['упаковка', 'доставка', 'оригинальность товара', 'поддержка русского языка', 'Google Play', 'NFC', 'ёмкость памяти (12/512 Гб)', 'цвет телефона (чёрный матовый)']",9.0,"Хорошая упаковка, своевременная доставка, оригинальный товар, всё соответствует заявленным характеристикам."
"iQOO Смартфон Z10 Lite Ростест (EAC) 8/256 ГБ, зеленый || уже второй берем, быстрый и с хорошей камерой. нравится) || Пользователь предпочёл скрыть свои данные",,,,,"```json
{
  ""sentiment"": ""positive"",
  ""emotions"": [
    ""довольство""
  ],
  ""topics"": [
    ""производительность смартфона», 
    ""камера телефона""
  ],
  ""quality"": 9,
  ""summary"": ""быстрый смартфон с качественной камерой, понравился владельцу""
}
```"
"OPPO Смартфон Reno13 F Ростест (EAC) 8/256 ГБ, серый || при хорошем освещении,съёмка нормальная,но при покупке понимала,что камера не вау ,а средняя,но не плохая. можно под себя настроить некоторые функции. интересная функция ии,как и писали ранее на редактирование ии качество фотографий выезжает ,приобрела его так как в ценовом сегменте с таким объёмом памяти это замечательный выбор,съемку под водой ещё... || себе брала ф14, я в захвате, а сыну 13ф, тоже самое всем советую",positive,"['удовлетворение', 'довольство']","['камера', 'производительность', 'внешний вид', 'ценовая категория', 'функционал']",9.0,"Пользователь доволен покупкой смартфона OPPO Reno13F: хорошая съёмка, средние характеристики камеры, удобство настройки функций, приятный внешний вид и достойный выбор в своём ценовом сегменте."
"Xiaomi Смартфон Redmi 14C CN 8/256 ГБ, черный || Пользователь предпочёл скрыть свои данные || Товар получили в срок, упаковка заводская. В комплекте китайская зарядка с переходником. Заряда хватает на 1 день :(
Работает шустро, не тормозит, не лагает. Качество снимков чуть выше среднего. В принципе, за такую цену неплохой смартфон",positive,['удовлетворение'],"['работоспособность смартфона', 'аккумулятор', 'качество камеры', 'комплектация зарядки']",8.0,"Пользователь доволен скоростью работы смартфона, качеством фотографий и комплектацией, однако заряда аккумулятора хватило всего на один день."
"VEDYARTI Смартфон Ростест (EAC) 8/256 ГБ, темно-синий || Телефон держала больше двух недель, пишу полный отзыв о телефоне. В комплекте чехол, броня, наушники, блок и зарядка, и ещё положили мини подарок держатель для телефона. Сперва первый час использование нагревался телефон, но это нормально если он и правда новый. Зарядку держит на день и ещё на второй день хватает. Телефон не глючик робатает на все 100%... || Телефон в подарок ребенку,за такую цену не ожидали,вауууу.Куплен для звонков и школьных приложений для учёбы.Если же вы хотите,ваааааууу,то рассматривайте другу ценовую категорию и фирму.",positive,"['удовлетворённость', 'восторг']","['качественный комплект поставки', 'удобство эксплуатации', 'эффективность работы устройства', 'доступная цена']",9.0,"Пользователь удовлетворён покупкой смартфона, получил много полезного в комплекте, устройство работает исправно, полностью соответствует ожиданиям, несмотря на невысокую стоимость."
"Benco Смартфон V91s Plus, security phone,Без камеры, без GPS,Защита информационной безопасности，Protect information security，No camera, No GPS 6/128 ГБ, белый || Шикарный аппарат, батареи хватает на долго, изображение качественное. || Прекрасный смартфон. Очень понравился. Для режимных объектов самое то,что надо.Рекомендую!!",positive,"['удовлетворенность', 'одобрение', 'довольство']","['защита информации', 'продолжительность работы аккумулятора', 'качество изображения', 'удобность для режимных объектов']",9.0,"Шикарный смартфон с качественной камерой, долгим временем работы и хорошей защитой информации, отлично подходит для режимных учреждений."
