Наименование,Продавец,Цена_raw,Рейтинг,Дата_первого_отзыва,Ссылка,Текст_отзыва,len_review
"Смартфон App!e 17 Pro Max Ростест (EAC) 16/1 ТБ, черный",ZUNYI Smart Store,9 812 ₽,4.0,28 октября 2025,https://www.ozon.ru/product/smartfon-app-e-17-pro-max-rostest-eac-16-1-tb-chernyy-2999691247/,"Смартфон App!e 17 Pro Max Ростест (EAC) 16/1 ТБ, черный || Симпатичный телефон, работает довольно резво, по первым впечатлениям классный || Все хорошо, ребёнок в восторге! Не ожидала что придёт такой классный телефон.",217
"Poco Смартфон M6 Ростест (EAC) 8/256 ГБ, серебристый",Ozon Россия,11 999 ₽,4.9,4 декабря 2025,https://www.ozon.ru/product/poco-smartfon-m6-rostest-eac-8-256-gb-serebristyy-1594477207/,"Poco Смартфон M6 Ростест (EAC) 8/256 ГБ, серебристый || Отличный смартфон, шустрый за время использования с момента покупки вообще претензий и жалоб нет ни к чему. Покупал сыну на подарок! Рекомендую всем!!! || Отличный телефон. Уже давно купили. Все супер. Дети играют в игры, не лагает. Купила сначала одному, потом другому. У этого продавца 👍🏻",346
"Tecno Смартфон CAMON 40 Ростест (EAC) 8/256 ГБ, темно-бежевый",Ozon Россия,16 704 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/tecno-smartfon-camon-40-rostest-eac-8-256-gb-temno-bezhevyy-2640938593/,"Tecno Смартфон CAMON 40 Ростест (EAC) 8/256 ГБ, темно-бежевый || Телефон покупала внуку, ему очень понравился, очень красивый дизайн, фотографии отличного качества, большой выбор редактирования фотографий работает быстро, много памяти, встроена ИИ ELLA, много полезных функций стоит своих денег || Второй такой телефон в семье. первый себе брал, месяц работы, полёт нормальный! фоткает отлично, кроме широкоугольной камеры. трудновато подобрать защитное стекло! памяти навалом, шустрый, тонкий. ИИ особо не пользовался, хотя штука прикольная! собеседника слышно отлично, как и меня. вф работает стабильно как и бт. яркости экрана хватает, рамки тонкие...",654
"vivo Смартфон vivo x300 Pro 5G NFC Ростест (EAC) 200Мп OIS Тройная камера Dimensity 9500 Емкая батарея 6510 мАч зарядка 90 Вт 6,78 дюйма 120Гц AMOLED Экран Лучшая водозащита IP69 OriginOS 6 Ростест (EAC) 16/512 ГБ, горчичный",ТопСмарт,69 937 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/vivo-smartfon-vivo-x300-pro-5g-nfc-rostest-eac-200mp-ois-troynaya-kamera-dimensity-9500-2964822394/,"vivo Смартфон vivo x300 Pro 5G NFC Ростест (EAC) 200Мп OIS Тройная камера Dimensity 9500 Емкая батарея 6510 мАч зарядка 90 Вт 6,78 дюйма 120Гц AMOLED Экран Лучшая водозащита IP69 OriginOS 6 Ростест (EAC) 16/512 ГБ, горчичный || Товар отличный, доставка во Владивосток немного задержалась, но не критично. Телефон взял на замену IPhone 15 pro max, устал от постоянных ограничений. Первые впечатления положительные. Экран супер, звук с динамиков средний, камера мое почтение. В комплекте с телефоном зарядка 90 вт, чехол. Поддержка гарантии на территории РФ. В общем рекомендую все... || Версия РСТ, на коробке шильда с описанием на русском языке. Внутри инструкции и прочее с присутствием русского, а так же некоторых языков стран СНГ. Шел достаточно долго, больше 3 недель, но тут просто так совпало, что заказывал в преддверии 11.11, поэтому внутренне был готов к долгой доставке. Перешёл на него с Pixel 8, по первым ощущениям - космос...",940
"Tecno Смартфон SPARK 40 Pro Ростест (EAC) 8/256 ГБ, синий, светло-синий",Фирменный магазин T...,13 140 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/tecno-smartfon-spark-40-pro-rostest-eac-8-256-gb-siniy-svetlo-siniy-2608545705/,"Tecno Смартфон SPARK 40 Pro Ростест (EAC) 8/256 ГБ, синий, светло-синий || очень хороший телефон! шустрый легкий тонкий || открыл,включил,всё работает,дальше будет видно...",172
"Xiaomi Смартфон Redmi Note 14 Pro, Global 12/512 ГБ, черный",AE Dubai Freezone O...,20 721 ₽,4.9,15 сентября 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-14-pro-global-12-512-gb-chernyy-2043114213/,"Xiaomi Смартфон Redmi Note 14 Pro, Global 12/512 ГБ, черный || отличный телефончик,поменяла старенький redme 10,очень довольна,все как и хотела,спасибо продавцу за отличный товар и озон за аккуратную и быструю доставку! || супер аппарат, быстрая доставка, все целое, работает без нареканий",289
"Samsung Смартфон Galaxy A35 Global 8/128 ГБ, темно-синий",ОАЭшка,16 715 ₽,4.9,5 декабря 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-a35-global-8-128-gb-temno-siniy-1969920377/,"Samsung Смартфон Galaxy A35 Global 8/128 ГБ, темно-синий || Великолепный магазин... 😉👌😍🔥🫶
Отличные смартфоны! 👍👍👍🎯🎯
В среднем на 5.000 - 40.000 рублей дешевле ( в зависимости от модели ) чем в ДНС, Связном, МТС и других магазинах, города Сочи.
Всё только оригинал! 💯
Проверил всё идеально... ✅💯
Доволен! 🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳
Очень рекомендую. 😉🤝 || Пользователь предпочёл скрыть свои данные",380
"Xiaomi Смартфон Xiaomi Redmi Note 14 4G глобальной версии Helio G99-Ultra 6.67-дюймовый AMOLED-дисплей быстрая зарядка 33 Вт Global 8/256 ГБ, зеленый",Dragon-X Store,11 654 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-xiaomi-redmi-note-14-4g-globalnoy-versii-helio-g99-ultra-6-67-dyuymovyy-amoled-1857274024/,"Xiaomi Смартфон Xiaomi Redmi Note 14 4G глобальной версии Helio G99-Ultra 6.67-дюймовый AMOLED-дисплей быстрая зарядка 33 Вт Global 8/256 ГБ, зеленый || Упакован добросовестно!!все пришло целое в заводской упаковке.Доставка подкачал,переносили.... || Телефон хороший, мне очень понравился.Все необходимые функции есть, для простого пользователя в самый раз. Со старого телефона вся нужная информация перенеслась. Телефон рекомендую.",432
"Samsung Смартфон Galaxy S24 Ultra (РСТ) 12/256 ГБ, желтый",Ozon Россия,71 990 ₽,4.8,28 ноября 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-s24-ultra-rst-12-256-gb-zheltyy-1392370579/,"Samsung Смартфон Galaxy S24 Ultra (РСТ) 12/256 ГБ, желтый || Телефон прекрасный, что ещё можно сказать. Регион MEA, изготовлен во Вьетнаме. Защитная упаковка от магазина Озон отсутствовала от слова совсем. Было бы безразлично если бы не стоимость устройства. Такое впечатление, что Озону жалко плёнки или картона, либо с персоналом беда. || Супер! Оставляю отзыв спустя 3 месяца.Телефон полностью в исправном состоянии, все работает на отлично, глюков нет. Камера огонь, теперь все друзья просят сфоткать на мой телефон . Пришёл быстро, на пункте сразу все проверили, нареканий нет.",582
"Honor Смартфон X7c Ростест (EAC) 8/128 ГБ, зеленый",Ozon Россия,12 870 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/honor-smartfon-x7c-rostest-eac-8-128-gb-zelenyy-2360465366/,"Honor Смартфон X7c Ростест (EAC) 8/128 ГБ, зеленый || Пользователь предпочёл скрыть свои данные || хороший телефон, сыну понравился, очень хорошо держит заряд, а это большой плюс👍игры тянет такие как Roblox)",207
"Poco Смартфон POCO X7 Global 12/512 ГБ, черный",FG Store,18 881 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/poco-smartfon-poco-x7-global-12-512-gb-chernyy-1793882049/,"Poco Смартфон POCO X7 Global 12/512 ГБ, черный || Очень порадовал смарт. Быстрый и шустрый - результат ниже на скринах. Скругление на экране штука стильная, но собирает много пыли. Камера за эти деньги вполне неплохо - снимок почти без освещения. || Пользователь предпочёл скрыть свои данные",291
"Xiaomi Смартфон Redmi Note 13 Pro 5G,Глобальное ПЗУ Поддержка русского языка + Google Play Global 12/256 ГБ, белый",Star Technology,16 307 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-13-pro-5g-globalnoe-pzu-podderzhka-russkogo-yazyka-google-play-global-1763695699/,"Xiaomi Смартфон Redmi Note 13 Pro 5G,Глобальное ПЗУ Поддержка русского языка + Google Play Global 12/256 ГБ, белый || Работает. Переживала. Цвета яркие. Экран норм. Фото хорошие || Пользователь предпочёл скрыть свои данные",222
"Xiaomi Смартфон Redmi Note 14 4G NFC Глобальная версия Поддерживает русский язык 8/256 ГБ, зеленый",Webuy,12 011 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-note-14-4g-nfc-globalnaya-versiya-podderzhivaet-russkiy-yazyk-8-256-gb-zelenyy-2894590526/,"Xiaomi Смартфон Redmi Note 14 4G NFC Глобальная версия Поддерживает русский язык 8/256 ГБ, зеленый || Телефон соответствует заявленным характеристикам.
При подключении к интернету обновился до 15 андроида, обновились также все системные приложения.При первом включении и настройкике рекомендую использовать регион Индонезия.
 плюсы комплектации, зарядка, кабель, защитная
 плёнка и чехол.
 За эти деньги-отличный телефон на лет 5 минимум.
 Не смотря на... || понравился, купили маме на др. Обычный тел, в семье у всех сяоми. удобно понятно, рекламы только море. Довольно шустрый, памяти маме после 32гб вагон. надеюсь будет ловить в деревне. Фото хорошие. сразу заказала чехол, так как камеры большие, легко повредить. пришел в указанный срок",742
"Poco Смартфон POCO C85 Процессор MediaTek Helio G81-Ultra батарея емкостью 6000 мАч дисплей диагональю 6.9 дюйма быстрая зарядка мощностью 33 Вт Global 8/256 ГБ, зеленый",Phone Global Store,9 088 ₽,4.9,1 ноября 2025,https://www.ozon.ru/product/poco-smartfon-poco-c85-protsessor-mediatek-helio-g81-ultra-batareya-emkostyu-6000-mach-displey-2871706819/,"Poco Смартфон POCO C85 Процессор MediaTek Helio G81-Ultra батарея емкостью 6000 мАч дисплей диагональю 6.9 дюйма быстрая зарядка мощностью 33 Вт Global 8/256 ГБ, зеленый || хорошо работает. шустрый . и не дорого телефон . || Отличный экран: Большой, яркий, с хорошими цветами. Смотреть видео и играть комфортно.
Огромная батарея: Легко хватает на два дня умеренного использования. 
Достаточно шустрый: В повседневных задачах (соцсети, браузер, звонки) не тормозит. Стартовой производительности хватает.
 Минусы:
Камеры посредственные: Днем при хорошем свете снимки еще куда ни...",579
"Honor Смартфон Honor 400 Lite, Global 8/256 ГБ, серый",AE Dubai Freezone O...,18 180 ₽,4.9,16 ноября 2025,https://www.ozon.ru/product/honor-smartfon-honor-400-lite-global-8-256-gb-seryy-2396449660/,"Honor Смартфон Honor 400 Lite, Global 8/256 ГБ, серый || Пишу отзыв спустя 2 месяца использования. Я очень переживала что телефон придёт не на русском языке и вообще неизвестно какой. Смотрела, отслеживала, доставка была на 3 дня раньше. В комплекте был чехол, зарядное устройство. И на моё удивление всё легко смогла настроить, быстро нашла русский язык, настроила. Единственное что приложения такие как сбербанк... || Пользователь предпочёл скрыть свои данные",461
"Xiaomi Смартфон Redmi 13 6/128 ГБ, синий",Ozon Россия,12 199 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-redmi-13-6-128-gb-siniy-1630768818/,"Отличный телефон, работает шустро. Камера хорошего качества 👍. Купил по скидке на 11.11 за 8к. В общем, рекомендую || Очень довольна и цена отличная. Спасибо Озону👍 || Телефон брали по акции на подарок пожилому человеку. За свои деньги отличный! Полный комплект. Пришел во время, характеристикам соответствует. Надеюсь, прослужит долго.",336
"Xiaomi Смартфон POCO X7 Pro Ростест (EAC) 12/512 ГБ, черный",Xiaomi Официальный ...,31 176 ₽,4.9,2 декабря 2025,https://www.ozon.ru/product/xiaomi-smartfon-poco-x7-pro-rostest-eac-12-512-gb-chernyy-2285724250/,"Xiaomi Смартфон POCO X7 Pro Ростест (EAC) 12/512 ГБ, черный || Телефон в использовании 10 дней, все прекрасно. Сын подросток доволен. Греется в меру если играет на высоких фпс в игры с высокими требованиями. Яркий, четкий, мощный,удобный. Качество фото вполне нормальное. В комплекте был чехол, блок питания и шнур. Упаковка запаянная, не вскрытая. Пришел с задержкой в один день. Ростест ( ЕАС). Пришлось столкнуться... || Хороший достойный телефон.купил жене в подарок .настроил всё работает . классный,отзывчивый,память о.п и внутренняя достойная . много приложений установлено ,а также макс который ненужен.меню на русском .и многое другое.это росо .у меня тоже росо я доволен ,а по цене отлично.спасибо .",709
"Poco Смартфон POCO X7 Pro Global 12/512 ГБ, черный",Smart#Fon,36 060 ₽,4.9,3 декабря 2025,https://www.ozon.ru/product/poco-smartfon-poco-x7-pro-global-12-512-gb-chernyy-2059869405/,"Poco Смартфон POCO X7 Pro Global 12/512 ГБ, черный || Покупкой доволен, мобила супер. 👍 Батарейки хватает на 2 дня легко. Рекомендую для покупки. || Это подарок внуку старшему, когда подарю напишу позже. Спасибо.",212
"Xiaomi Смартфон Xiaomi Redmi Note 14 4G NFC глобальной версии Helio G99-Ultra 6.67-дюймовый AMOLED-дисплей быстрая зарядка 33 Вт EU 8/256 ГБ, голубой",Phone Global Store,12 257 ₽,4.9,10 ноября 2025,https://www.ozon.ru/product/xiaomi-smartfon-xiaomi-redmi-note-14-4g-nfc-globalnoy-versii-helio-g99-ultra-6-67-dyuymovyy-amoled-1859362732/,"Xiaomi Смартфон Xiaomi Redmi Note 14 4G NFC глобальной версии Helio G99-Ultra 6.67-дюймовый AMOLED-дисплей быстрая зарядка 33 Вт EU 8/256 ГБ, голубой || В общем телефон дошёл за 20 дней, с Китая быстро отправили и на таможню экспорт, а в России где-то зависла на таможне очень долго, но по факту с 30 октября по 5 ноября должны были доставить но доставили 6 ноября. в целом Я очень доволен телефоном поначалу он подглючил то что загружал всё полностью все приложения все чаты WhatsApp полностью все аккаунты... || Всё нормально каробка не мятая сам тел. Ещё не проверял по результату отпешу",590
"Samsung Смартфон Galaxy A56 Global 12/256 ГБ, оливковый",ОАЭшка,28 455 ₽,4.9,25 ноября 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-a56-global-12-256-gb-olivkovyy-1969919163/,"Samsung Смартфон Galaxy A56 Global 12/256 ГБ, оливковый || Отличный, оригинальный телефон, шустрый, с обновлением экрана 120 Гц.А вот у айфона 120 Гц обновление экрана появилось только аж на 17 айфоне, за айфон обидно конечно. Спасибо продавцу за оригинальный товар. || отлично всё! время покажет подключим дополню отзыв.",321
"realme Смартфон GT7 Ростест (EAC) 12/256 ГБ, синий",Mzone,37 198 ₽,4.9,6 декабря 2025,https://www.ozon.ru/product/realme-smartfon-gt7-rostest-eac-12-256-gb-siniy-2181556238/,"realme Смартфон GT7 Ростест (EAC) 12/256 ГБ, синий || пришло в указанную дату, отлично упаковано, все работает как положено. || Все супер. Время покажет ,брал взамен realme 9 pro+.",180
"realme Смартфон realme C71 Ростест (EAC) 8/256 ГБ, зеленый",Онлайн,9 501 ₽,4.9,10 ноября 2025,https://www.ozon.ru/product/realme-smartfon-realme-c71-rostest-eac-8-256-gb-zelenyy-2208305131/,"realme Смартфон realme C71 Ростест (EAC) 8/256 ГБ, зеленый || За свои деньги хороший смартфон. Брали ребёнку носить с собой в школу. Размерчик конечно для детской ручки большеват) Отлично,что он ударопрочный😁Ребенок уже много раз его ронял за 4 месяца пользования и все 👌 || Телефон хороший, все работает, все отлично",317
"Infinix Смартфон Note 50 pro Ростест (EAC) 12/256 ГБ, черный",Infinix Store,26 574 ₽,5.0,5 декабря 2025,https://www.ozon.ru/product/infinix-smartfon-note-50-pro-rostest-eac-12-256-gb-chernyy-2917327604/,"Infinix Смартфон Note 50 pro Ростест (EAC) 12/256 ГБ, черный || пока все хорошо, 👍 , позже добавлю отзыв, только два дня как получил || упаковка заводская, цена ниже чем в Китае, всё работает как надо",200
"Poco Смартфон X7 Pro 12/512 ГБ, зеленый",Ozon Россия,36 099 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/poco-smartfon-x7-pro-12-512-gb-zelenyy-1842229111/,"Пользователь предпочёл скрыть свои данные || Я в полном восторге. Очень понравился дизайн, к тому же он удобный, шустрый, приложения просто летают и обьем памяти 512 для меня то, что надо. До конца еще не все фишки испробовала, но уже с уверенностью могу сказать, что он просто бомба. Берите не пожалеете. Предыдущий был Poco x3 pro, поэтому мой выбор именно Poco. Цвет зелёный, нежный, очень красивый... || Муж фанат Poco уже много лет. Говорит, что ""фруктовые"" смартфоны даже рядом не стоят, хоть и стОят в разы дороже. Старый свой Poco решил отдать ребёнку, а себе обновил модель👌 Приехал заказ быстро, Ростест как и заявлено.Камера,скорость работы, объём памяти,дизайн-всё на высоте🔥Муж доволен, цена-качество 10/10.",720
"Honor Смартфон X6c Ростест (EAC) 6/128 ГБ, голубой",Фирменный магазин H...,8 930 ₽,4.9,27 сентября 2025,https://www.ozon.ru/product/honor-smartfon-x6c-rostest-eac-6-128-gb-goluboy-2732100402/,"Honor Смартфон X6c Ростест (EAC) 6/128 ГБ, голубой || Субъективно первое впечатление: телефон понравился. Внешний вид копирует дорогие модели iPhone прошлых поколений, хотя камер всего две и то одна только для одной специфичной функции размытия фона. Третья линза - вспышка, а для чего четвертая так и не удалось выяснить, возможно просто фикция. Вообще держа в руках телефон не создаётся впечатления, что... || смартфон хороший, только ни разу не белый, а совсем зелёный пришёл в неповреждëнной упаковке, заклейка логотипным скотчем. всё работает, тырнет как птица, камера нормально, снимки четкие даже против солнца и через стекло. все понравилось, спасибо, довольна. ну, зелёный, так зелёный...",697
"Samsung Смартфон Galaxy Z Flip 7 FE Ростест (EAC) 8/128 ГБ, черный",Ozon Россия,58 999 ₽,4.8,30 ноября 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-z-flip-7-fe-rostest-eac-8-128-gb-chernyy-2421932074/,"Samsung Смартфон Galaxy Z Flip 7 FE Ростест (EAC) 8/128 ГБ, черный || себе бы такой не взял, но жена в восторге. со старого быстро перенесли данные (тоже был самсунг А....чегото) бегает, хвастается, пищит от удовольствия) хороший получился подарок) || супер у жены первый опыт с самсунгом
все просто улет))
я как поклонник от s10 plus до ultra 24 тоже восторге от телефона думаю взять и себе только не ФЕ версию она более компактная ,для жены самое то)",452
"Honor Смартфон X6c Ростест (EAC) 6/256 ГБ, черный",Ozon Россия,10 054 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/honor-smartfon-x6c-rostest-eac-6-256-gb-chernyy-2323887816/,"Honor Смартфон X6c Ростест (EAC) 6/256 ГБ, черный || ребенок в восторге. отличные характеристики, мощный аккумулятор, цена подарок, за эти деньги нет конкурентов. || Всё устроило. комплектация в полном объёме как в описании. Товар целый не смотря на некоторые мятинки на уголках коробки. Мама осталась довольна.",311
"Tecno Смартфон SPARK 40C Ростест (EAC) 8/256 ГБ, серый",Ozon Россия,11 502 ₽,4.9,7 декабря 2025,https://www.ozon.ru/product/tecno-smartfon-spark-40c-rostest-eac-8-256-gb-seryy-2640939719/,"Tecno Смартфон SPARK 40C Ростест (EAC) 8/256 ГБ, серый || Пользователь предпочёл скрыть свои данные || Телефон хороший выглядит хорошо за свою цену и тянет базовые игры если хотите геншин на ультрах то не потянет скорее всего для геншина не рекомендую нужна крутая камера? Тоже не рекомендую общее впечатление нормальное для слабых игр сойдёт",342
"Meizu Смартфон Note 21 Ростест (EAC) 8/256 ГБ, черный",Ozon Россия,6 899 ₽,4.8,5 декабря 2025,https://www.ozon.ru/product/meizu-smartfon-note-21-rostest-eac-8-256-gb-chernyy-3027061032/,"Meizu Смартфон Note 21 Ростест (EAC) 8/256 ГБ, черный || Всё супер. Рекомендую. Отличный телефон. Буду заказывать ещё такой же ребёнку || Пришёл вовремя,хорошо упаковано. Упаковка заводская. Все работает,характеристики как в описании.Только камера не соответствует заявленным характеристикам.",292
"Samsung Смартфон Galaxy A06 4/64 ГБ, черный",AE Dubai Freezone O...,6 665 ₽,4.9,19 ноября 2025,https://www.ozon.ru/product/samsung-smartfon-galaxy-a06-4-64-gb-chernyy-2039515743/,"Samsung Смартфон Galaxy A06 4/64 ГБ, черный || Товар получил, упакован замечательно пакет, картонная коробка, пленка пупырка, своя коробочка, телефон завернут еще в бумажный пакет, вообщем все идеально , телефон в прекрасном состоянии ни потертостей, ни сколов, даже в руки брать страшно,запахи отсутствуют, зарядка 26 процентов, поставил на зарядку посмотрю сколько времени будет заряжаться, переключил... || кому необходим телефон по бюджетной стоимости,но супер надежный,то рекомендую.нас все устроило.самсунги мы знаем,поэтому никаких неудобств мы не нашли.камера хорошая для простого человека,который не занимается фотосессиями и т.д.для фото и видео очень даже отлично.доставка,как и обещали,упаковка хорошая.",715
